elbow_0
Module: E0:5A:1B:76:00:58 (06)
t(us),ax,ay,az,gx,gy,gz,y,p,r
4344100,23334,20078,-4534,34,-123,99,-0.973398,2.275053,1.732833
4359726,23708,19612,-4572,-153,-11,-25,-0.977268,2.274525,1.737318
4375353,23620,19424,-4390,-169,94,-78,-0.976556,2.274868,1.736326
4390979,23078,19444,-3920,-49,134,-35,-0.972814,2.275883,1.732010
4406605,22422,19786,-3592,130,78,61,-0.971843,2.275988,1.730841
4422231,22256,19728,-3730,166,-22,103,-0.973740,2.274873,1.733187
4437858,22756,19736,-4062,102,-61,21,-0.975931,2.274354,1.735844
4453484,23386,19816,-4426,25,-8,-62,-0.978079,2.275038,1.740054
4469111,23438,19772,-4482,4,55,-56,-0.977887,2.276593,1.741856
4484738,23206,19696,-4312,17,97,-39,-0.977222,2.277185,1.741628
4500365,22586,19736,-3958,66,109,-31,-0.975750,2.277859,1.740922
4515991,22268,20032,-3820,159,53,4,-0.975001,2.278267,1.740850
4531616,22352,20174,-4082,189,-26,40,-0.976146,2.278759,1.744138
4547242,22798,20000,-4152,122,-65,26,-0.979047,2.279199,1.749447
4562868,23266,20008,-4514,34,-35,-24,-0.980038,2.279531,1.751478
4578494,23448,20168,-4714,11,49,-50,-0.979875,2.280762,1.752797
4594120,23234,20402,-4698,74,88,-10,-0.979312,2.281354,1.752965
4609747,22762,20556,-4372,112,97,43,-0.979293,2.281556,1.753912
4625374,22332,20460,-4090,83,54,69,-0.979369,2.281402,1.754396
4641000,22312,20300,-4210,-15,-18,53,-0.980197,2.280993,1.755522
4656625,22802,19924,-4402,-103,-65,19,-0.980545,2.281165,1.755987
4672251,23276,19734,-4588,-103,-54,9,-0.980812,2.281649,1.756152
4687877,23398,19594,-4636,-48,3,15,-0.981232,2.281705,1.756439
4703503,23102,19944,-4458,66,76,15,-0.981879,2.281327,1.756768
4719128,22730,20354,-4420,115,78,21,-0.982151,2.281090,1.757675
4734753,22622,20480,-4412,76,31,30,-0.982325,2.281077,1.758376
4750378,22826,20278,-4574,-38,-8,15,-0.982860,2.281429,1.759928
4766003,23128,19918,-4580,-128,3,-5,-0.982696,2.281772,1.759898
4781629,23194,19660,-4704,-124,35,-17,-0.981323,2.282370,1.757987
4797255,23046,19730,-4596,-59,72,-15,-0.979840,2.282666,1.756139
4812882,22690,19928,-4542,-19,96,-8,-0.979172,2.282740,1.755329
4828508,22438,20288,-4332,24,45,11,-0.978020,2.283132,1.754327
4844135,22742,20362,-4336,30,-3,21,-0.977796,2.283406,1.754565
4859761,23166,20270,-4416,-34,-12,6,-0.978242,2.283982,1.755911
4875387,23264,19926,-4464,-111,18,-19,-0.978093,2.284251,1.756065
4891013,23098,19786,-4442,-117,63,-20,-0.976715,2.284694,1.753975
4906639,22690,19754,-4420,-53,84,-2,-0.975616,2.284891,1.752505
4922266,22446,20032,-4380,16,52,20,-0.974419,2.284930,1.750919
4937893,22624,20126,-4358,23,0,21,-0.974399,2.285001,1.751197
4953519,23084,20046,-4310,-38,-19,-5,-0.975098,2.285323,1.752682
4969146,23094,20066,-4382,-45,0,-6,-0.975106,2.285924,1.753169
4984772,22922,20066,-4450,-9,22,13,-0.975012,2.286131,1.753062
5000398,22750,20168,-4484,55,15,42,-0.975329,2.286023,1.753691
